time,frontend_mem,frontend_cpu,frontend_restarts,checkoutservice_mem,checkoutservice_cpu,checkoutservice_restarts,cartservice_mem,cartservice_cpu,cartservice_restarts,currencyservice_mem,currencyservice_cpu,currencyservice_restarts,paymentservice_mem,paymentservice_cpu,paymentservice_restarts,recommendationservice_mem,recommendationservice_cpu,recommendationservice_restarts,productcatalogservice_mem,productcatalogservice_cpu,productcatalogservice_restarts,shippingservice_mem,shippingservice_cpu,shippingservice_restarts,emailservice_mem,emailservice_cpu,emailservice_restarts,adservice_mem,adservice_cpu,adservice_restarts
1782909558,9740288.000000,0.012165,0.000000,7163904.000000,0.000241,0.000000,46256128.000000,0.013273,0.000000,27090944.000000,,0.000000,24723456.000000,,0.000000,33083392.000000,0.005833,0.000000,8097792.000000,0.004876,0.000000,7319552.000000,0.000172,0.000000,37502976.000000,0.001216,1.000000,90877952.000000,0.009488,0.000000
1782909588,9920512.000000,0.013502,0.000000,7163904.000000,0.000410,0.000000,46563328.000000,0.003611,0.000000,27521024.000000,0.010585,0.000000,24752128.000000,0.000530,0.000000,33083392.000000,0.007152,0.000000,8114176.000000,0.005982,0.000000,7479296.000000,0.000733,0.000000,37507072.000000,0.001543,1.000000,91328512.000000,0.006513,0.000000
1782909618,10092544.000000,0.013191,0.000000,7233536.000000,0.001313,0.000000,47411200.000000,0.006772,0.000000,28442624.000000,0.010105,0.000000,24866816.000000,0.000742,0.000000,33083392.000000,0.005875,0.000000,8499200.000000,0.006033,0.000000,7483392.000000,0.000566,0.000000,37507072.000000,,1.000000,91328512.000000,,0.000000
1782909648,10006528.000000,0.012057,0.000000,7241728.000000,0.000729,0.000000,49106944.000000,0.005625,0.000000,28794880.000000,0.009532,0.000000,24936448.000000,0.000548,0.000000,33083392.000000,0.006441,0.000000,8523776.000000,0.005148,0.000000,7491584.000000,0.000807,0.000000,37507072.000000,0.000940,1.000000,92143616.000000,,0.000000
1782909678,10137600.000000,0.011623,0.000000,7258112.000000,0.000926,0.000000,49778688.000000,0.005739,0.000000,29306880.000000,0.008693,0.000000,24973312.000000,0.000640,0.000000,33091584.000000,0.006125,0.000000,8540160.000000,0.005088,0.000000,7548928.000000,0.000736,0.000000,37507072.000000,0.000959,1.000000,92258304.000000,0.005689,0.000000
1782909708,10252288.000000,0.012509,0.000000,7102464.000000,0.000690,0.000000,51482624.000000,0.003284,0.000000,29929472.000000,0.009815,0.000000,25067520.000000,0.000729,0.000000,33083392.000000,0.005963,0.000000,8544256.000000,0.004942,0.000000,7548928.000000,,0.000000,37507072.000000,0.000623,1.000000,92442624.000000,0.008787,0.000000
1782909738,10420224.000000,0.012707,0.000000,7110656.000000,0.000670,0.000000,51367936.000000,0.005919,0.000000,30404608.000000,0.007147,0.000000,25067520.000000,0.000339,0.000000,33083392.000000,0.006200,0.000000,8544256.000000,,0.000000,7548928.000000,,0.000000,37507072.000000,0.000679,1.000000,92594176.000000,0.004453,0.000000
1782909768,10420224.000000,,0.000000,7118848.000000,0.001204,0.000000,51400704.000000,0.004997,0.000000,30789632.000000,0.006527,0.000000,25165824.000000,0.000720,0.000000,33067008.000000,0.007005,0.000000,8552448.000000,0.004484,0.000000,7389184.000000,0.000922,0.000000,37507072.000000,0.000901,1.000000,92741632.000000,0.004598,0.000000
1782909798,10502144.000000,0.008526,0.000000,7139328.000000,0.000990,0.000000,51445760.000000,0.005714,0.000000,30789632.000000,,0.000000,25165824.000000,0.000488,0.000000,33083392.000000,0.005958,0.000000,8552448.000000,0.004484,0.000000,7389184.000000,0.000671,0.000000,37511168.000000,0.001453,1.000000,92741632.000000,,0.000000
1782909828,10256384.000000,0.010704,0.000000,7417856.000000,0.000465,0.000000,52977664.000000,0.005918,0.000000,31662080.000000,0.003358,0.000000,25165824.000000,,0.000000,33083392.000000,0.005863,0.000000,8499200.000000,,0.000000,7393280.000000,0.000546,0.000000,37511168.000000,,1.000000,92839936.000000,,0.000000
