timestamp,service,level,message
1782909282105701888,frontend,DEBUG,view user cart
1782909282118489088,frontend,DEBUG,request complete
1782909282270888960,frontend,DEBUG,request started
1782909282270931968,frontend,DEBUG,serving product page
1782909282282561024,frontend,WARNING,failed to retrieve ads
1782909282283049984,frontend,DEBUG,request complete
1782909282283920128,frontend,DEBUG,request started
1782909282283965952,frontend,DEBUG,adding to cart
1782909282287384064,frontend,DEBUG,request complete
1782909282288104960,frontend,DEBUG,request started
1782909282288113152,frontend,DEBUG,view user cart
1782909282301230080,frontend,DEBUG,request complete
1782909282386558976,frontend,DEBUG,request started
1782909282386616064,frontend,DEBUG,serving product page
1782909282398201856,frontend,WARNING,failed to retrieve ads
1782909282398637056,frontend,DEBUG,request complete
1782909283196747008,frontend,DEBUG,request started
1782909283196919808,frontend,DEBUG,setting currency
1782909283196954880,frontend,DEBUG,request complete
1782909283197731072,frontend,DEBUG,request started
1782909283197742080,frontend,INFO,home
1782909283210977024,frontend,INFO,env platform is either empty or invalid
1782909283213326848,frontend,DEBUG,ENV_PLATFORM is: local
1782909283213463040,frontend,WARNING,failed to retrieve ads
1782909283214354944,frontend,DEBUG,request complete
1782909283244587008,frontend,DEBUG,request started
1782909283244615168,frontend,INFO,home
1782909283259290880,frontend,INFO,env platform is either empty or invalid
1782909283262782976,frontend,DEBUG,ENV_PLATFORM is: local
1782909283262903040,frontend,WARNING,failed to retrieve ads
1782909283263577088,frontend,DEBUG,request complete
1782909283828612096,frontend,DEBUG,request started
1782909283828849152,frontend,DEBUG,serving product page
1782909283911896064,frontend,WARNING,failed to retrieve ads
1782909283912358912,frontend,DEBUG,request complete
1782909284847595008,frontend,DEBUG,request started
1782909284847696896,frontend,DEBUG,serving product page
1782909284859545856,frontend,WARNING,failed to retrieve ads
1782909284860142848,frontend,DEBUG,request complete
1782909284861025024,frontend,DEBUG,request started
1782909284861128960,frontend,DEBUG,adding to cart
1782909284864819968,frontend,DEBUG,request complete
1782909284865536000,frontend,DEBUG,request started
1782909284865551872,frontend,DEBUG,view user cart
1782909284882561024,frontend,DEBUG,request complete
1782909285426300160,frontend,DEBUG,request started
1782909285426353920,frontend,DEBUG,serving product page
1782909285436902144,frontend,WARNING,failed to retrieve ads
1782909285437331968,frontend,DEBUG,request complete
1782909286136363008,frontend,DEBUG,request started
1782909286136390912,frontend,DEBUG,serving product page
1782909286147665920,frontend,WARNING,failed to retrieve ads
1782909286148197888,frontend,DEBUG,request complete
1782909286737398016,frontend,DEBUG,request started
1782909286737426944,frontend,DEBUG,serving product page
1782909286748583168,frontend,WARNING,failed to retrieve ads
1782909286749242112,frontend,DEBUG,request complete
1782909287754894848,frontend,DEBUG,request started
1782909287754955008,frontend,DEBUG,serving product page
1782909287766010112,frontend,WARNING,failed to retrieve ads
1782909287766556928,frontend,DEBUG,request complete
1782909288150360064,frontend,DEBUG,request started
1782909288150388992,frontend,DEBUG,serving product page
1782909288160818176,frontend,WARNING,failed to retrieve ads
1782909288161361920,frontend,DEBUG,request complete
1782909288162196992,frontend,DEBUG,request started
1782909288162276096,frontend,DEBUG,adding to cart
1782909288165746944,frontend,DEBUG,request complete
1782909288166436864,frontend,DEBUG,request started
1782909288166498816,frontend,DEBUG,view user cart
1782909288184907008,frontend,DEBUG,request complete
1782909288482199040,frontend,DEBUG,request started
1782909288482262016,frontend,DEBUG,view user cart
1782909288495842048,frontend,DEBUG,request complete
1782909288585936128,frontend,DEBUG,request started
1782909288585968128,frontend,DEBUG,request complete
1782909288586360832,frontend,DEBUG,request started
1782909288586371840,frontend,DEBUG,request complete
1782909288760359168,frontend,DEBUG,request started
1782909288760439040,frontend,DEBUG,setting currency
1782909288760494080,frontend,DEBUG,request complete
1782909288761320960,frontend,DEBUG,request started
1782909288761338880,frontend,INFO,home
1782909288774336000,frontend,INFO,env platform is either empty or invalid
1782909288776668160,frontend,DEBUG,ENV_PLATFORM is: local
1782909288776834048,frontend,WARNING,failed to retrieve ads
1782909288777534976,frontend,DEBUG,request complete
1782909288884825088,frontend,DEBUG,request started
1782909288884860928,frontend,DEBUG,serving product page
1782909288895303936,frontend,WARNING,failed to retrieve ads
1782909288895787008,frontend,DEBUG,request complete
1782909289531072000,frontend,DEBUG,request started
1782909289531447040,frontend,DEBUG,view user cart
1782909289611418880,frontend,DEBUG,request complete
1782909289980012032,frontend,DEBUG,request started
1782909289980064000,frontend,DEBUG,serving product page
1782909290014121984,frontend,WARNING,failed to retrieve ads
1782909290014578176,frontend,DEBUG,request complete
1782909290299153152,frontend,DEBUG,request started
1782909290299258880,frontend,DEBUG,serving product page
1782909290310678016,frontend,WARNING,failed to retrieve ads
1782909290311193856,frontend,DEBUG,request complete
1782909290566718976,frontend,DEBUG,request started
1782909290566754048,frontend,DEBUG,serving product page
1782909290575508224,frontend,DEBUG,request started
1782909290575555072,frontend,DEBUG,serving product page
1782909290622466048,frontend,WARNING,failed to retrieve ads
1782909290622704128,frontend,WARNING,failed to retrieve ads
1782909290623256832,frontend,DEBUG,request complete
1782909290623579136,frontend,DEBUG,request complete
1782909291514533888,frontend,DEBUG,request started
1782909291514561024,frontend,DEBUG,serving product page
1782909291525266944,frontend,WARNING,failed to retrieve ads
1782909291525777152,frontend,DEBUG,request complete
1782909292862145024,frontend,DEBUG,request started
1782909292862243840,frontend,DEBUG,serving product page
1782909292876087040,frontend,WARNING,failed to retrieve ads
1782909292876118016,frontend,DEBUG,request complete
1782909293874401024,frontend,DEBUG,request started
1782909293874429952,frontend,DEBUG,serving product page
1782909293884951040,frontend,WARNING,failed to retrieve ads
1782909293885387008,frontend,DEBUG,request complete
1782909294230822144,frontend,DEBUG,request started
1782909294230951936,frontend,DEBUG,setting currency
1782909294230968064,frontend,DEBUG,request complete
1782909294231770880,frontend,DEBUG,request started
1782909294231785984,frontend,INFO,home
1782909294245018880,frontend,INFO,env platform is either empty or invalid
1782909294247078912,frontend,DEBUG,ENV_PLATFORM is: local
1782909294247267072,frontend,WARNING,failed to retrieve ads
1782909294247983872,frontend,DEBUG,request complete
1782909294305305088,frontend,DEBUG,request started
1782909294305345024,frontend,DEBUG,serving product page
1782909294315854080,frontend,WARNING,failed to retrieve ads
1782909294316289024,frontend,DEBUG,request complete
1782909294704569088,frontend,DEBUG,request started
1782909294704633856,frontend,DEBUG,serving product page
1782909294714706944,frontend,WARNING,failed to retrieve ads
1782909294715169792,frontend,DEBUG,request complete
1782909296301515008,frontend,DEBUG,request started
1782909296301587200,frontend,DEBUG,serving product page
1782909296312958976,frontend,WARNING,failed to retrieve ads
1782909296313412864,frontend,DEBUG,request complete
1782909296444046848,frontend,DEBUG,request started
1782909296444077056,frontend,DEBUG,serving product page
1782909296454505984,frontend,WARNING,failed to retrieve ads
1782909296454978816,frontend,DEBUG,request complete
1782909296455791872,frontend,DEBUG,request started
1782909296455868928,frontend,DEBUG,adding to cart
1782909296459703808,frontend,DEBUG,request complete
1782909296460382976,frontend,DEBUG,request started
1782909296460391168,frontend,DEBUG,view user cart
1782909296476178944,frontend,DEBUG,request complete
1782909296560977920,frontend,DEBUG,request started
1782909296561033984,frontend,DEBUG,view user cart
1782909296613908992,frontend,DEBUG,request complete
1782909297345819904,frontend,DEBUG,request started
1782909297345911040,frontend,DEBUG,setting currency
1782909297345978112,frontend,DEBUG,request complete
1782909297346797056,frontend,DEBUG,request started
1782909297346808832,frontend,INFO,home
1782909297411494912,frontend,INFO,env platform is either empty or invalid
1782909297413620992,frontend,DEBUG,ENV_PLATFORM is: local
1782909297413764864,frontend,WARNING,failed to retrieve ads
1782909297414443008,frontend,DEBUG,request complete
1782909297521033984,frontend,DEBUG,request started
1782909297521140224,frontend,DEBUG,serving product page
1782909297533799936,frontend,WARNING,failed to retrieve ads
1782909297534329856,frontend,DEBUG,request complete
1782909297535142912,frontend,DEBUG,request started
1782909297535217152,frontend,DEBUG,adding to cart
1782909297603916800,frontend,DEBUG,request complete
1782909297604813056,frontend,DEBUG,request started
1782909297604873984,frontend,DEBUG,view user cart
1782909297618670080,frontend,DEBUG,request complete
1782909297620430080,frontend,DEBUG,request started
1782909297620443136,frontend,DEBUG,placing order
1782909297632903936,frontend,INFO,order placed
1782909297639868928,frontend,DEBUG,request complete
1782909298109619968,frontend,DEBUG,request started
1782909298109668864,frontend,DEBUG,serving product page
1782909298119992064,frontend,WARNING,failed to retrieve ads
1782909298120477952,frontend,DEBUG,request complete
1782909298559194112,frontend,DEBUG,request started
1782909298559273984,frontend,DEBUG,serving product page
1782909298569837056,frontend,WARNING,failed to retrieve ads
1782909298570311936,frontend,DEBUG,request complete
1782909298585704960,frontend,DEBUG,request started
1782909298585731072,frontend,DEBUG,request complete
1782909298585897984,frontend,DEBUG,request started
1782909298585912064,frontend,DEBUG,request complete
1782909299472536064,frontend,DEBUG,request started
1782909299472596992,frontend,DEBUG,view user cart
1782909299483751168,frontend,DEBUG,request complete
1782909299685182208,frontend,DEBUG,request started
1782909299685200896,frontend,DEBUG,serving product page
1782909299695713024,frontend,WARNING,failed to retrieve ads
1782909299696286976,frontend,DEBUG,request complete
1782909301569912064,frontend,DEBUG,request started
1782909301569946112,frontend,DEBUG,setting currency
1782909301569950976,frontend,DEBUG,request complete
1782909301570703104,frontend,DEBUG,request started
1782909301570713088,frontend,INFO,home
1782909301583017984,frontend,DEBUG,request started
1782909301583295232,frontend,DEBUG,serving product page
1782909301592957952,frontend,INFO,env platform is either empty or invalid
1782909301596275200,frontend,DEBUG,ENV_PLATFORM is: local
1782909301596339968,frontend,WARNING,failed to retrieve ads
1782909301597423104,frontend,DEBUG,request complete
1782909301599260160,frontend,WARNING,failed to retrieve ads
1782909301599760128,frontend,DEBUG,request complete
1782909301751329024,frontend,DEBUG,request started
1782909301751364096,frontend,DEBUG,serving product page
1782909301766312960,frontend,WARNING,failed to retrieve ads
1782909301767582976,frontend,DEBUG,request complete
1782909302229736192,frontend,DEBUG,request started
1782909302229803008,frontend,DEBUG,serving product page
1782909302242397184,frontend,WARNING,failed to retrieve ads
1782909302242881024,frontend,DEBUG,request complete
1782909302243755008,frontend,DEBUG,request started
1782909302243901952,frontend,DEBUG,adding to cart
1782909302248164864,frontend,DEBUG,request complete
1782909302249090816,frontend,DEBUG,request started
1782909302249182976,frontend,DEBUG,view user cart
1782909302266076928,frontend,DEBUG,request complete
1782909302927067136,frontend,DEBUG,request started
1782909302927151872,frontend,DEBUG,serving product page
1782909302938644992,frontend,WARNING,failed to retrieve ads
1782909302939197184,frontend,DEBUG,request complete
1782909302940155136,frontend,DEBUG,request started
1782909302940248064,frontend,DEBUG,adding to cart
1782909302943526912,frontend,DEBUG,request complete
1782909302944258048,frontend,DEBUG,request started
1782909302944338944,frontend,DEBUG,view user cart
1782909302957438976,frontend,DEBUG,request complete
1782909303056997120,frontend,DEBUG,request started
1782909303057046016,frontend,DEBUG,setting currency
1782909303057050880,frontend,DEBUG,request complete
1782909303057828864,frontend,DEBUG,request started
1782909303057838080,frontend,INFO,home
1782909303071759872,frontend,INFO,env platform is either empty or invalid
1782909303073852928,frontend,DEBUG,ENV_PLATFORM is: local
1782909303074043904,frontend,WARNING,failed to retrieve ads
1782909303074796800,frontend,DEBUG,request complete
1782909303747759104,frontend,DEBUG,request started
1782909303747795200,frontend,DEBUG,serving product page
1782909303775827968,frontend,DEBUG,request complete
1782909303777700864,frontend,DEBUG,request started
1782909303777728000,frontend,DEBUG,adding to cart
1782909303781528064,frontend,DEBUG,request complete
1782909303782466048,frontend,DEBUG,request started
1782909303782494976,frontend,DEBUG,view user cart
1782909303796660992,frontend,DEBUG,request complete
1782909304791065088,frontend,DEBUG,request started
1782909304791098112,frontend,DEBUG,view user cart
1782909304803200000,frontend,DEBUG,request complete
1782909305010791936,frontend,DEBUG,request started
1782909305010873088,frontend,DEBUG,serving product page
1782909305030108928,frontend,DEBUG,request complete
1782909305071825152,frontend,DEBUG,request started
1782909305071862016,frontend,DEBUG,setting currency
1782909305071866880,frontend,DEBUG,request complete
1782909305072932096,frontend,DEBUG,request started
1782909305072982016,frontend,INFO,home
1782909305087419904,frontend,INFO,env platform is either empty or invalid
1782909305089518080,frontend,DEBUG,ENV_PLATFORM is: local
1782909305102579200,frontend,DEBUG,request complete
1782909305697349120,frontend,DEBUG,request started
1782909305697381120,frontend,DEBUG,serving product page
1782909305716835072,frontend,DEBUG,request complete
1782909305720360960,frontend,DEBUG,request started
1782909305720424960,frontend,DEBUG,serving product page
1782909305738853888,frontend,DEBUG,request complete
1782909305864908032,frontend,DEBUG,request started
1782909305864982016,frontend,DEBUG,serving product page
1782909305882020096,frontend,DEBUG,request complete
1782909306008865024,frontend,DEBUG,request started
1782909306008982784,frontend,DEBUG,serving product page
1782909306027553024,frontend,DEBUG,request complete
1782909306454372864,frontend,DEBUG,request started
1782909306454405120,frontend,DEBUG,serving product page
1782909306471323136,frontend,DEBUG,request complete
1782909307325704960,frontend,DEBUG,request started
1782909307325756928,frontend,DEBUG,serving product page
1782909307343848960,frontend,DEBUG,request complete
1782909307449542144,frontend,DEBUG,request started
1782909307449574912,frontend,DEBUG,serving product page
1782909307467597056,frontend,DEBUG,request complete
1782909307470046976,frontend,DEBUG,request started
1782909307470169088,frontend,DEBUG,adding to cart
1782909307474206976,frontend,DEBUG,request complete
1782909307475048192,frontend,DEBUG,request started
1782909307475063040,frontend,DEBUG,view user cart
1782909307490658048,frontend,DEBUG,request complete
1782909308586489088,frontend,DEBUG,request started
1782909308586523136,frontend,DEBUG,request complete
1782909308586525952,frontend,DEBUG,request started
1782909308586529024,frontend,DEBUG,request complete
1782909309453175040,frontend,DEBUG,request started
1782909309453206016,frontend,DEBUG,serving product page
1782909309468871168,frontend,DEBUG,request complete
1782909309882715904,frontend,DEBUG,request started
1782909309882746880,frontend,DEBUG,serving product page
1782909309899749120,frontend,DEBUG,request complete
1782909310118354944,frontend,DEBUG,request started
1782909310118468096,frontend,DEBUG,setting currency
1782909310118604800,frontend,DEBUG,request complete
1782909310119575040,frontend,DEBUG,request started
1782909310119590912,frontend,INFO,home
1782909310133150208,frontend,INFO,env platform is either empty or invalid
1782909310135448064,frontend,DEBUG,ENV_PLATFORM is: local
1782909310142246912,frontend,DEBUG,request complete
1782909310185925120,frontend,DEBUG,request started
1782909310185966080,frontend,DEBUG,serving product page
1782909310201842176,frontend,DEBUG,request complete
1782909310203063040,frontend,DEBUG,request started
1782909310203169024,frontend,DEBUG,adding to cart
1782909310206832896,frontend,DEBUG,request complete
1782909310207806208,frontend,DEBUG,request started
1782909310207865088,frontend,DEBUG,view user cart
1782909310223057920,frontend,DEBUG,request complete
