time,cdo-sample-api_mem,cdo-sample-api_cpu,cdo-sample-api_delay,notification-service_mem,notification-service_cpu,notification-service_delay
1782885418,18755584.000000,0.000253,4.878378,40357888.000000,0.000474,4.878378
1782885448,18755584.000000,0.000453,4.878378,40357888.000000,0.000455,4.845638
1782885478,18755584.000000,0.000273,4.878378,40357888.000000,0.000527,4.845638
1782885508,18755584.000000,0.000177,4.878378,40357888.000000,0.000545,4.845638
1782885538,18780160.000000,0.000311,4.878378,40357888.000000,0.000522,4.845638
1782885568,18780160.000000,0.000182,4.813333,40357888.000000,0.000449,4.878378
1782885598,18780160.000000,,4.813333,40361984.000000,0.000549,4.878378
1782885628,18784256.000000,0.000256,4.813333,40361984.000000,0.000473,4.878378
1782885658,18784256.000000,0.000292,4.813333,40361984.000000,0.000552,4.878379
1782885688,18784256.000000,0.000219,4.813333,40361984.000000,0.000625,4.845638
1782885718,18784256.000000,0.000350,4.813333,40361984.000000,0.000343,4.845638
1782885748,18784256.000000,0.000233,4.813333,40361984.000000,0.000535,4.878378
1782885778,18784256.000000,0.000149,4.813333,40361984.000000,0.000510,4.878378
1782885808,18784256.000000,,4.813333,40361984.000000,0.000411,4.878378
1782885838,18784256.000000,0.000253,4.813333,40366080.000000,0.000551,4.878378
1782885868,18784256.000000,0.000309,4.878378,40361984.000000,0.000449,4.845638
1782885898,18796544.000000,0.000235,4.878378,40361984.000000,0.000602,4.845638
1782885928,18796544.000000,0.000475,4.945205,40361984.000000,0.000531,4.845638
1782885958,18796544.000000,0.000274,4.945205,40366080.000000,0.000613,4.845638
1782885988,18796544.000000,0.000309,4.878378,40361984.000000,0.000497,4.878378
1782886018,18796544.000000,0.000240,4.878378,40361984.000000,0.000454,4.878378
1782886048,18800640.000000,0.000362,4.878378,40366080.000000,0.000562,4.845638
1782886078,18796544.000000,0.000261,4.878378,40366080.000000,0.000486,4.845638
1782886108,18796544.000000,0.000252,4.878378,40361984.000000,0.000539,4.813333
1782886138,18796544.000000,0.000259,4.878378,40361984.000000,0.000741,4.813333
1782886168,18796544.000000,0.000379,4.813333,40361984.000000,0.000383,4.845638
1782886198,18796544.000000,0.000226,4.813333,40366080.000000,0.000596,4.845638
1782886228,18796544.000000,0.000327,4.813333,40361984.000000,0.000497,4.845638
1782886258,18796544.000000,,4.813333,40361984.000000,0.000459,4.845638
1782886288,18796544.000000,,4.813333,40361984.000000,0.000512,4.813333
1782886318,18796544.000000,0.000343,4.813333,40366080.000000,0.000559,4.813333
1782886348,18800640.000000,0.000262,4.813333,40361984.000000,0.000487,4.813333
1782886378,18796544.000000,0.000367,4.813333,40366080.000000,0.000528,4.813333
1782886408,18796544.000000,0.000272,4.878378,40361984.000000,0.000591,4.845638
1782886438,18796544.000000,0.000503,4.878378,40361984.000000,0.000532,4.845638
1782886468,18796544.000000,0.000248,4.878378,40361984.000000,0.000414,4.813333
1782886498,18796544.000000,0.000241,4.878378,40361984.000000,0.000500,4.813334
1782886528,18796544.000000,0.000140,4.878378,40361984.000000,0.000668,4.781457
1782886558,18796544.000000,0.000341,4.878378,40361984.000000,0.000544,4.781457
1782886588,18796544.000000,0.000147,4.945205,40361984.000000,0.000460,4.781457
1782886618,18796544.000000,,4.945205,40361984.000000,0.000462,4.781457
1782886648,18796544.000000,0.000210,4.945205,40361984.000000,0.000606,4.781457
1782886678,19374080.000000,0.000353,4.945205,40361984.000000,0.000518,4.781457
1782886708,19374080.000000,0.000215,4.878378,40370176.000000,0.000529,4.750000
1782886738,19456000.000000,,4.878378,40370176.000000,0.000402,4.750000
1782886768,19460096.000000,0.000304,4.878378,40366080.000000,0.000608,4.750000
1782886798,19460096.000000,0.000240,4.878378,40370176.000000,0.000483,4.750000
1782886828,19460096.000000,,4.878378,40366080.000000,0.000534,4.750000
1782886858,19460096.000000,0.000269,4.878378,40370176.000000,0.000496,4.750000
1782886888,19456000.000000,0.000277,4.813333,40366080.000000,0.000585,4.750000
1782886918,19456000.000000,0.000344,4.813333,40366080.000000,0.000543,4.750000
1782886948,19456000.000000,0.000254,4.813333,40366080.000000,0.000381,4.750000
1782886978,19456000.000000,0.000227,4.813333,40374272.000000,0.000459,4.750000
1782887008,19456000.000000,0.000134,4.813333,40370176.000000,0.000464,4.781457
1782887038,19456000.000000,,4.813333,40370176.000000,0.000523,4.781457
1782887068,19456000.000000,0.000328,4.878378,40370176.000000,0.000611,4.781457
1782887098,19456000.000000,0.000276,4.878378,40370176.000000,0.000413,4.781457
1782887128,19456000.000000,0.000312,4.878378,40370176.000000,0.000625,4.813333
1782887158,19456000.000000,0.000349,4.878378,40370176.000000,0.000455,4.813333
1782887188,19456000.000000,0.000234,4.878378,40370176.000000,0.000615,4.813333
1782887218,19456000.000000,0.000288,4.878378,40370176.000000,0.000505,4.813333
1782887248,19456000.000000,0.000234,4.878378,40370176.000000,0.000375,4.813333
1782887278,19456000.000000,0.000400,4.878378,40370176.000000,0.000573,4.813333
1782887308,19456000.000000,0.000253,4.878378,40370176.000000,0.000552,4.813333
1782887338,19456000.000000,0.000197,4.878378,40370176.000000,0.000487,4.813334
1782887368,19456000.000000,0.000301,4.813333,40374272.000000,0.000550,4.845638
